a 	 ఒక 	(Oka)	
pay up 	 చెల్లించండి 	(Cellin̄caṇḍi)	
peace 	 శాంతి 	(Śānti)	
peaceful 	 శాంతియుతమైనది 	(Śāntiyutamainadi)	
peak 	 శిఖరం 	(Śikharaṁ)	
pen 	 కలం 	(Kalaṁ)	
pencil 	 పెన్సిల్ 	(Pensil)	
penny 	 పెన్నీ 	(Pennī)	
pension 1 	 పెన్షన్ 1 	(Penṣan 1)	
people 	 ప్రజలు 	(Prajalu)	
pepper 	 మిరియాలు 	(Miriyālu)	
per 	 ప్రతి 	(Prati)	
per cent 	 శాతం 	(Śātaṁ)	
perfect 	 పరిపూర్ణమైనది 	(Paripūrṇamainadi)	
perfectly 	 సంపూర్ణంగా 	(Sampūrṇaṅgā)	
perform 	 నిర్వహిస్తారు 	(Nirvahistāru)	
performance 	 పనితీరు 	(Panitīru)	
performer 	 ప్రదర్శకుడు 	(Pradarśakuḍu)	
perhaps 	 బహుశా 	(Bahuśā)	
period 	 కాలం 	(Kālaṁ)	
permanent 	 శాశ్వత 	(Śāśvata)	
permanently 	 శాశ్వతంగా 	(Śāśvataṅgā)	
permission 	 అనుమతి 	(Anumati)	
permit 	 అనుమతి 	(Anumati)	
person 	 వ్యక్తి 	(Vyakti)	
personal 	 వ్యక్తిగత 	(Vyaktigata)	
personality 	 వ్యక్తిత్వం 	(Vyaktitvaṁ)	
personally 	 వ్యక్తిగతంగా 	(Vyaktigataṅgā)	
persuade 	 ఒప్పించండి 	(Oppin̄caṇḍi)	
pet 	 పెంపుడు జంతువు 	(Pempuḍu jantuvu)	
petrol 	 పెట్రోల్ 	(Peṭrōl)	
phase 	 దశ 	(Daśa)	
philosophy 	 తత్వశాస్త్రం 	(Tatvaśāstraṁ)	
phone 	 ఫోన్ 	(Phōn)	
photo 	 ఫోటో 	(Phōṭō)	
photocopy 	 ఫోటోకాపీ 	(Phōṭōkāpī)	
photograph 	 ఫోటో 	(Phōṭō)	
photographer 	 ఫోటోగ్రాఫర్ 	(Phōṭōgrāphar)	
photography 	 ఫోటోగ్రఫీ 	(Phōṭōgraphī)	
phrase 	 పదబంధం 	(Padabandhaṁ)	
physical 	 భౌతిక 	(Bhautika)	
physically 	 భౌతికంగా 	(Bhautikaṅgā)	
physics 	 భౌతిక శాస్త్రం 	(Bhautika śāstraṁ)	
piano 	 పియానో 	(Piyānō)	
pick 	 ఎంచుకోండి 	(En̄cukōṇḍi)	
pick up 	 తీయండి 	(Tīyaṇḍi)	
picture 	 చిత్రం 	(Citraṁ)	
piece 	 ముక్క 	(Mukka)	
pig 	 పంది 	(Pandi)	
pile 	 కుప్ప 	(Kuppa)	
pile up 	 పోగు 	(Pōgu)	
pill 	 మాత్ర 	(Mātra)	
pilot 	 పైలట్ 	(Pailaṭ)	
pin 	 పిన్ 	(Pin)	
pink 	 గులాబీ రంగు 	(Gulābī raṅgu)	
pint 	 పింట్ 	(Piṇṭ)	
pipe 	 పైపు 	(Paipu)	
pitch 	 పిచ్ 	(Pic)	
pity 	 జాలి 	(Jāli)	
place 	 స్థలం 	(Sthalaṁ)	
plain 	 సాదా 	(Sādā)	
plan 	 ప్రణాళిక 	(Praṇāḷika)	
plane 	 విమానం 	(Vimānaṁ)	
planet 	 గ్రహం 	(Grahaṁ)	
planning 	 ప్రణాళిక 	(Praṇāḷika)	
plant 	 మొక్క 	(Mokka)	
plastic 	 ప్లాస్టిక్ 	(Plāsṭik)	
plate 	 ప్లేట్ 	(Plēṭ)	
platform 	 వేదిక 	(Vēdika)	
play 	 ఆడండి 	(Āḍaṇḍi)	
play about 	 గురించి ప్లే 	(Gurin̄ci plē)	
player 	 ఆటగాడు 	(Āṭagāḍu)	
play with 	 తో ఆడుకోండి 	(Tō āḍukōṇḍi)	
pleasant 	 ఆహ్లాదకరమైన 	(Āhlādakaramaina)	
pleasantly 	 ఆహ్లాదకరంగా 	(Āhlādakaraṅgā)	
please 	 దయచేసి 	(Dayacēsi)	
pleased 	 సంతోషించారు 	(Santōṣin̄cāru)	
pleasing 	 ఆహ్లాదకరమైన 	(Āhlādakaramaina)	
pleasure 	 ఆనందం 	(Ānandaṁ)	
plenty 	 పుష్కలంగా 	(Puṣkalaṅgā)	
plot 	 ప్లాట్లు 	(Plāṭlu)	
plug 	 ప్లగ్ 	(Plag)	
plug in 	 ప్లగ్ ఇన్ చేయండి 	(Plag in cēyaṇḍi)	
plus 1 	 ప్లస్ 1 	(Plas 1)	
p.m. 	 p.m. 	(P.M.)	
pocket 	 జేబు 	(Jēbu)	
poem 	 పద్యం 	(Padyaṁ)	
poetry 	 కవిత్వం 	(Kavitvaṁ)	
point 	 పాయింట్ 	(Pāyiṇṭ)	
pointed 	 ఎత్తి చూపారు 	(Etti cūpāru)	
point out 	 ఎత్తి చూపుతారు 	(Etti cūputāru)	
poison 	 విషం 	(Viṣaṁ)	
poisonous 	 విషపూరితమైన 	(Viṣapūritamaina)	
pole 	 పోల్ 	(Pōl)	
police 	 పోలీసు 	(Pōlīsu)	
policy 	 విధానం 	(Vidhānaṁ)	
polish 	 పాలిష్ 	(Pāliṣ)	
polite 	 మర్యాదపూర్వకమైన 	(Maryādapūrvakamaina)	
politely 	 మర్యాదగా 	(Maryādagā)	
political 	 రాజకీయ 	(Rājakīya)	
politically 	 రాజకీయంగా 	(Rājakīyaṅgā)	
politician 	 రాజకీయ నాయకుడు 	(Rājakīya nāyakuḍu)	
politics 	 రాజకీయాలు 	(Rājakīyālu)	
pollution 	 కాలుష్యం 	(Kāluṣyaṁ)	
pool 	 కొలను 	(Kolanu)	
poor 	 పేదవాడు 	(Pēdavāḍu)	
pop 	 పాప్ 	(Pāp)	
popular 	 ప్రజాదరణ పొందింది 	(Prajādaraṇa pondindi)	
population 	 జనాభా 	(Janābhā)	
port 	 ఓడరేవు 	(Ōḍarēvu)	
pose 	 భంగిమలో 	(Bhaṅgimalō)	
position 	 స్థానం 	(Sthānaṁ)	
positive 	 సానుకూల 	(Sānukūla)	
possess 	 కలిగి ఉంటాయి 	(Kaligi uṇṭāyi)	
possession 	 స్వాధీనం 	(Svādhīnaṁ)	
possibility 	 అవకాశం 	(Avakāśaṁ)	
possible 	 సాధ్యం 	(Sādhyaṁ)	
possibly 	 బహుశా 	(Bahuśā)	
post 	 పోస్ట్ 	(Pōsṭ)	
post office 	 పోస్టాఫీసు 	(Pōsṭāphīsu)	
pot 	 కుండ 	(Kuṇḍa)	
potato 	 బంగాళదుంప 	(Baṅgāḷadumpa)	
potential 	 సంభావ్య 	(Sambhāvya)	
potentially 	 సంభావ్యంగా 	(Sambhāvyaṅgā)	
pound 	 పౌండ్ 	(Pauṇḍ)	
pour 	 పోయాలి 	(Pōyāli)	
powder 	 పొడి 	(Poḍi)	
power 	 శక్తి 	(Śakti)	
powerful 	 శక్తివంతమైన 	(Śaktivantamaina)	
practical 	 ఆచరణాత్మకమైనది 	(Ācaraṇātmakamainadi)	
practically 	 ఆచరణాత్మకంగా 	(Ācaraṇātmakaṅgā)	
practice 	 సాధన 	(Sādhana)	
practise 	 సాధన 	(Sādhana)	
praise 	 ప్రశంసలు 	(Praśansalu)	
pray 	 ప్రార్థించండి 	(Prārthin̄caṇḍi)	
prayer 	 ప్రార్థన 	(Prārthana)	
precise 	 ఖచ్చితమైన 	(Khaccitamaina)	
precisely 	 ఖచ్చితంగా 	(Khaccitaṅgā)	
predict 	 అంచనా వేయండి 	(An̄canā vēyaṇḍi)	
prefer 	 ఇష్టపడతారు 	(Iṣṭapaḍatāru)	
preference 	 ప్రాధాన్యత 	(Prādhān'yata)	
pregnant 	 గర్భవతి 	(Garbhavati)	
premises 	 ప్రాంగణంలో 	(Prāṅgaṇanlō)	
preparation 	 తయారీ 	(Tayārī)	
prepare 	 సిద్ధం 	(Sid'dhaṁ)	
prepared 	 సిద్ధం 	(Sid'dhaṁ)	
presence 	 ఉనికిని 	(Unikini)	
present 	 ప్రస్తుతం 	(Prastutaṁ)	
presentation 	 ప్రదర్శన 	(Pradarśana)	
preserve 	 సంరక్షించు 	(Sanrakṣin̄cu)	
president 	 అధ్యక్షుడు 	(Adhyakṣuḍu)	
press 	 నొక్కండి 	(Nokkaṇḍi)	
pressure 	 ఒత్తిడి 	(Ottiḍi)	
presumably 	 బహుశా 	(Bahuśā)	
pretend 	 నటిస్తారు 	(Naṭistāru)	
pretty 	 అందంగా 	(Andaṅgā)	
prevent 	 నిరోధిస్తాయి 	(Nirōdhistāyi)	
previous 	 మునుపటి 	(Munupaṭi)	
previously 	 గతంలో 	(Gatanlō)	
price 	 ధర 	(Dhara)	
pride 	 గర్వం 	(Garvaṁ)	
priest 	 పూజారి 	(Pūjāri)	
primarily 	 ప్రధానంగా 	(Pradhānaṅgā)	
primary 	 ప్రాథమిక 	(Prāthamika)	
prime minister 	 ప్రధాన మంత్రి 	(Pradhāna mantri)	
prince 	 యువరాజు 	(Yuvarāju)	
princess 	 యువరాణి 	(Yuvarāṇi)	
principle 	 సూత్రం 	(Sūtraṁ)	
print 	 ప్రింట్ 	(Priṇṭ)	
printer 	 ప్రింటర్ 	(Priṇṭar)	
printing 	 ప్రింటింగ్ 	(Priṇṭiṅg)	
print off 	 ప్రింట్ ఆఫ్ 	(Priṇṭ āph)	
prior 	 ముందు 	(Mundu)	
priority 	 ప్రాధాన్యత 	(Prādhān'yata)	
prison 	 జైలు 	(Jailu)	
prisoner 	 ఖైదీ 	(Khaidī)	
private 	 ప్రైవేట్ 	(Praivēṭ)	
privately 	 ప్రైవేట్u200cగా 	(Praivēṭu200cgā)	
prize 	 బహుమతి 	(Bahumati)	
probable 	 సంభావ్య 	(Sambhāvya)	
probably 	 బహుశా 	(Bahuśā)	
problem 	 సమస్య 	(Samasya)	
procedure 	 ప్రక్రియ 	(Prakriya)	
proceed 	 కొనసాగండి 	(Konasāgaṇḍi)	
process 1 	 ప్రక్రియ 1 	(Prakriya 1)	
produce 	 ఉత్పత్తి చేస్తాయి 	(Utpatti cēstāyi)	
producer 	 నిర్మాత 	(Nirmāta)	
product 	 ఉత్పత్తి 	(Utpatti)	
production 	 ఉత్పత్తి 	(Utpatti)	
profession 	 వృత్తి 	(Vr̥tti)	
professional 	 వృత్తిపరమైన 	(Vr̥ttiparamaina)	
professor 	 ప్రొఫెసర్ 	(Prophesar)	
profit 	 లాభం 	(Lābhaṁ)	
program 	 కార్యక్రమం 	(Kāryakramaṁ)	
programme 	 కార్యక్రమం 	(Kāryakramaṁ)	
progress 	 పురోగతి 	(Purōgati)	
project 	 ప్రాజెక్ట్ 	(Prājekṭ)	
promise 	 వాగ్దానం 	(Vāgdānaṁ)	
promote 	 ప్రచారం చేయండి 	(Pracāraṁ cēyaṇḍi)	
promotion 	 ప్రమోషన్ 	(Pramōṣan)	
prompt 	 ప్రాంప్ట్ 	(Prāmpṭ)	
promptly 	 వెంటనే 	(Veṇṭanē)	
pronounce 	 పలుకుతారు 	(Palukutāru)	
pronunciation 	 ఉచ్చారణ 	(Uccāraṇa)	
proof 	 రుజువు 	(Rujuvu)	
proper 	 సరైన 	(Saraina)	
properly 	 సరిగ్గా 	(Sariggā)	
property 	 ఆస్తి 	(Āsti)	
proportion 	 నిష్పత్తి 	(Niṣpatti)	
proposal 	 ప్రతిపాదన 	(Pratipādana)	
propose 	 ప్రతిపాదించండి 	(Pratipādin̄caṇḍi)	
prospect 	 అవకాశం 	(Avakāśaṁ)	
protect 	 రక్షించండి 	(Rakṣin̄caṇḍi)	
protection 	 రక్షణ 	(Rakṣaṇa)	
protest 	 నిరసన 	(Nirasana)	
proud 	 గర్వంగా ఉంది 	(Garvaṅgā undi)	
proudly 	 గర్వంగా 	(Garvaṅgā)	
prove 	 నిరూపించండి 	(Nirūpin̄caṇḍi)	
provide 	 అందిస్తాయి 	(Andistāyi)	
provided 	 అందించారు 	(Andin̄cāru)	
providing 	 అందించడం 	(Andin̄caḍaṁ)	
pub 	 పబ్ 	(Pab)	
public 	 పబ్లిక్ 	(Pablik)	
publication 	 ప్రచురణ 	(Pracuraṇa)	
publicity 	 ప్రచారం 	(Pracāraṁ)	
publicly 	 బహిరంగంగా 	(Bahiraṅgaṅgā)	
publish 	 ప్రచురించండి 	(Pracurin̄caṇḍi)	
publishing 	 ప్రచురించడం 	(Pracurin̄caḍaṁ)	
pull 	 లాగండి 	(Lāgaṇḍi)	
pull apart 	 వేరుగా లాగండి 	(Vērugā lāgaṇḍi)	
pull down 	 క్రిందికి లాగండి 	(Krindiki lāgaṇḍi)	
pull in 	 లోపలికి లాగండి 	(Lōpaliki lāgaṇḍi)	
pull off 	 లాగండి 	(Lāgaṇḍi)	
pull out 	 బయటకు లాగండి 	(Bayaṭaku lāgaṇḍi)	
pull over 	 పైకి లాగండి 	(Paiki lāgaṇḍi)	
pull through 	 ద్వారా లాగండి 	(Dvārā lāgaṇḍi)	
pull together 	 కలిసి లాగండి 	(Kalisi lāgaṇḍi)	
pull up 	 పైకి లాగండి 	(Paiki lāgaṇḍi)	
punch 	 పంచ్ 	(Pan̄c)	
punish 	 శిక్షించండి 	(Śikṣin̄caṇḍi)	
punishment 	 శిక్ష 	(Śikṣa)	
pupil 	 విద్యార్థి 	(Vidyārthi)	
purchase 	 కొనుగోలు 	(Konugōlu)	
pure 	 స్వచ్ఛమైన 	(Svacchamaina)	
purely 	 పూర్తిగా 	(Pūrtigā)	
purple 	 ఊదా రంగు 	(Ūdā raṅgu)	
purpose 	 ప్రయోజనం 	(Prayōjanaṁ)	
pursue 	 కొనసాగించు 	(Konasāgin̄cu)	
push 	 పుష్ 	(Puṣ)	
push about 	 గురించి పుష్ 	(Gurin̄ci puṣ)	
push forward 	 ముందుకు నెట్టండి 	(Munduku neṭṭaṇḍi)	
put 	 చాలు 	(Cālu)	
put away 	 దూరంగా ఉంచారు 	(Dūraṅgā un̄cāru)	
put back 	 తిరిగి చాలు 	(Tirigi cālu)	
put down 	 దించేశాడు 	(Din̄cēśāḍu)	
put forward 	 ముందుంచారు 	(Mundun̄cāru)	
put in 	 పెట్టింది 	(Peṭṭindi)	
put off 	 నిలిపివేసింది 	(Nilipivēsindi)	
put on 	 చాలు 	(Cālu)	
put out 	 బయట పెట్టాడు 	(Bayaṭa peṭṭāḍu)	
put through 	 ద్వారా చాలు 	(Dvārā cālu)	
put together 	 కలిసి ఉంచారు 	(Kalisi un̄cāru)	
put up 	 చాలు 	(Cālu)	
put up with 	 తో పెట్టాడు 	(Tō peṭṭāḍu)	
qualification 	 అర్హత 	(Ar'hata)	
qualified 	 అర్హత సాధించారు 	(Ar'hata sādhin̄cāru)	
qualify 	 అర్హత 	(Ar'hata)	
quality 	 నాణ్యత 	(Nāṇyata)	
quantity 	 పరిమాణం 	(Parimāṇaṁ)	
quarter 	 త్రైమాసికం 	(Traimāsikaṁ)	
queen 	 రాణి 	(Rāṇi)	
question 	 ప్రశ్న 	(Praśna)	
quick 	 త్వరగా 	(Tvaragā)	
quickly 	 త్వరగా 	(Tvaragā)	
quiet 	 నిశ్శబ్దంగా 	(Niśśabdaṅgā)	
quietly 	 నిశ్శబ్దంగా 	(Niśśabdaṅgā)	
quit 	 విడిచిపెట్టు 	(Viḍicipeṭṭu)	
quite 	 చాలా 	(Cālā)	
quote 	 కోట్ 	(Kōṭ)	
race 	 జాతి 	(Jāti)	
racing 	 రేసింగ్ 	(Rēsiṅg)	
radio 	 రేడియో 	(Rēḍiyō)	
rail 	 రైలు 	(Railu)	
railroad 	 రైలుమార్గం 	(Railumārgaṁ)	
railway 	 రైల్వే 	(Railvē)	
rain 	 వర్షం 	(Varṣaṁ)	
raise 	 పెంచండి 	(Pen̄caṇḍi)	
range 	 పరిధి 	(Paridhi)	
rank 	 ర్యాంక్ 	(Ryāṅk)	
rapid 	 వేగవంతమైన 	(Vēgavantamaina)	
rapidly 	 వేగంగా 	(Vēgaṅgā)	
rare 	 అరుదైన 	(Arudaina)	
rarely 	 అరుదుగా 	(Arudugā)	
rate 	 రేటు 	(Rēṭu)	
rather 	 కాకుండా 	(Kākuṇḍā)	
raw 	 ముడి 	(Muḍi)	
re- 	 తిరిగి- 	(Tirigi-)	
reach 	 చేరుకుంటాయి 	(Cērukuṇṭāyi)	
react 	 ప్రతిస్పందిస్తాయి 	(Pratispandistāyi)	
reaction 	 ప్రతిచర్య 	(Praticarya)	
read 	 చదివాడు 	(Cadivāḍu)	
reader 	 పాఠకుడు 	(Pāṭhakuḍu)	
reading 	 చదవడం 	(Cadavaḍaṁ)	
read out 	 చదవండి 	(Cadavaṇḍi)	
read over 	 పైగా చదివాను 	(Paigā cadivānu)	
ready 	 సిద్ధంగా 	(Sid'dhaṅgā)	
real 	 నిజమైన 	(Nijamaina)	
realistic 	 వాస్తవికమైనది 	(Vāstavikamainadi)	
reality 	 వాస్తవికత 	(Vāstavikata)	
realize 	 గ్రహించండి 	(Grahin̄caṇḍi)	
really 	 నిజంగా 	(Nijaṅgā)	
rear 	 వెనుక 	(Venuka)	
reason 	 కారణం 	(Kāraṇaṁ)	
reasonable 	 సహేతుకమైనది 	(Sahētukamainadi)	
reasonably 	 సహేతుకంగా 	(Sahētukaṅgā)	
recall 	 రీకాల్ 	(Rīkāl)	
receipt 	 రసీదు 	(Rasīdu)	
receive 	 అందుకుంటారు 	(Andukuṇṭāru)	
recent 	 ఇటీవలి 	(Iṭīvali)	
recently 	 ఇటీవల 	(Iṭīvala)	
reception 	 రిసెప్షన్ 	(Risepṣan)	
reckon 	 లెక్క 	(Lekka)	
reckon on 	 లెక్కించు 	(Lekkin̄cu)	
recognition 	 గుర్తింపు 	(Gurtimpu)	
recognize 	 గుర్తించండి 	(Gurtin̄caṇḍi)	
recommend 	 సిఫార్సు 	(Siphārsu)	
record 	 రికార్డు 	(Rikārḍu)	
recording 	 రికార్డింగ్ 	(Rikārḍiṅg)	
recover 	 కోలుకుంటారు 	(Kōlukuṇṭāru)	
red 	 ఎరుపు 	(Erupu)	
reduce 	 తగ్గించండి 	(Taggin̄caṇḍi)	
reduction 	 తగ్గింపు 	(Taggimpu)	
refer 	 సూచించండి 	(Sūcin̄caṇḍi)	
reference 	 సూచన 	(Sūcana)	
refer to 	 సూచించండి 	(Sūcin̄caṇḍi)	
reflect 	 ప్రతిబింబిస్తాయి 	(Pratibimbistāyi)	
reform 	 సంస్కరణ 	(Sanskaraṇa)	
refrigerator 	 రిఫ్రిజిరేటర్ 	(Riphrijirēṭar)	
refusal 	 తిరస్కరణ 	(Tiraskaraṇa)	
refuse 1 	 తిరస్కరించు 1 	(Tiraskarin̄cu 1)	
regard 	 సంబంధించి 	(Sambandhin̄ci)	
regarding 	 సంబంధించి 	(Sambandhin̄ci)	
region 	 ప్రాంతం 	(Prāntaṁ)	
regional 	 ప్రాంతీయ 	(Prāntīya)	
register 	 నమోదు 	(Namōdu)	
regret 	 విచారం 	(Vicāraṁ)	
regular 	 రెగ్యులర్ 	(Regyular)	
regularly 	 క్రమం తప్పకుండా 	(Kramaṁ tappakuṇḍā)	
regulation 	 నియంత్రణ 	(Niyantraṇa)	
reject 	 తిరస్కరించండి 	(Tiraskarin̄caṇḍi)	
relate 	 సంబంధం 	(Sambandhaṁ)	
related 	 సంబంధించిన 	(Sambandhin̄cina)	
relate to 	 సంబంధించినవి 	(Sambandhin̄cinavi)	
relation 	 సంబంధం 	(Sambandhaṁ)	
relationship 	 సంబంధం 	(Sambandhaṁ)	
relative 	 బంధువు 	(Bandhuvu)	
relatively 	 సాపేక్షంగా 	(Sāpēkṣaṅgā)	
relax 	 విశ్రాంతి 	(Viśrānti)	
relaxed 	 సడలించింది 	(Saḍalin̄cindi)	
relaxing 	 సడలించడం 	(Saḍalin̄caḍaṁ)	
release 	 విడుదల 	(Viḍudala)	
relevant 	 సంబంధిత 	(Sambandhita)	
relief 	 ఉపశమనం 	(Upaśamanaṁ)	
religion 	 మతం 	(Mataṁ)	
religious 	 మతపరమైన 	(Mataparamaina)	
rely 	 ఆధారపడతారు 	(Ādhārapaḍatāru)	
rely on 	 ఆధారపడతారు 	(Ādhārapaḍatāru)	
remain 	 మిగిలి ఉన్నాయి 	(Migili unnāyi)	
remaining 	 మిగిలి ఉంది 	(Migili undi)	
remains 	 మిగిలి ఉంది 	(Migili undi)	
remark 	 వ్యాఖ్య 	(Vyākhya)	
remarkable 	 విశేషమైనది 	(Viśēṣamainadi)	
remarkably 	 విశేషమైనది 	(Viśēṣamainadi)	
remember 	 గుర్తుంచుకోవాలి 	(Gurtun̄cukōvāli)	
remind 	 గుర్తు చేయండి 	(Gurtu cēyaṇḍi)	
remind of 	 గుర్తు 	(Gurtu)	
remote 	 రిమోట్ 	(Rimōṭ)	
removal 	 తొలగింపు 	(Tolagimpu)	
remove 	 తొలగించు 	(Tolagin̄cu)	
rent 	 అద్దెకు 	(Addeku)	
rented 	 అద్దెకు తీసుకున్నారు 	(Addeku tīsukunnāru)	
repair 	 మరమ్మత్తు 	(Maram'mattu)	
repeat 	 పునరావృతం 	(Punarāvr̥taṁ)	
repeated 	 పునరావృతం 	(Punarāvr̥taṁ)	
repeatedly 	 పదే పదే 	(Padē padē)	
replace 	 భర్తీ చేయండి 	(Bhartī cēyaṇḍi)	
